epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.176,1.97978,5.0954,1.82493,0.01242,0.03173,0.02437,0.01601,1.77858,4.93058,1.67141,3.95506e-05,3.95506e-05,3.95506e-05
2,646.012,1.79001,4.27402,1.62918,0.68837,0.0324,0.03693,0.02411,1.77825,4.01742,1.65065,7.8763e-05,7.8763e-05,7.8763e-05
3,965.398,1.73684,3.65831,1.58098,0.71254,0.06353,0.0633,0.04019,1.69551,3.47833,1.62306,0.000117183,0.000117183,0.000117183
4,1287.85,1.67962,3.18752,1.54236,0.58161,0.08068,0.08188,0.0511,1.6021,2.98337,1.54528,0.000116436,0.000116436,0.000116436
5,1599.47,1.65312,2.92699,1.52365,0.52253,0.10283,0.09814,0.05918,1.62513,2.85681,1.57015,0.000115248,0.000115248,0.000115248
6,1912,1.60595,2.75472,1.50564,0.57759,0.10072,0.10794,0.06563,1.59806,2.64518,1.53044,0.00011406,0.00011406,0.00011406
7,2228.5,1.57051,2.56214,1.48244,0.55273,0.12219,0.12494,0.07483,1.57535,2.55316,1.50902,0.000112872,0.000112872,0.000112872
8,2546.96,1.54665,2.4276,1.46437,0.50327,0.13047,0.13364,0.08047,1.54189,2.43141,1.50916,0.000111684,0.000111684,0.000111684
9,2868.61,1.55145,2.34911,1.46803,0.41981,0.15878,0.14437,0.08703,1.52726,2.3339,1.48313,0.000110496,0.000110496,0.000110496
10,3190.8,1.49322,2.22451,1.42854,0.44142,0.16671,0.15804,0.09488,1.51118,2.31641,1.49,0.000109308,0.000109308,0.000109308
11,3505.47,1.4964,2.18817,1.43043,0.46808,0.1776,0.18161,0.10915,1.52861,2.22651,1.48118,0.00010812,0.00010812,0.00010812
12,3826.07,1.46919,2.11794,1.41782,0.40023,0.19218,0.18895,0.11166,1.51553,2.19679,1.4892,0.000106932,0.000106932,0.000106932
