epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5499,2.14034,4.44621,1.91154,0.89098,0.05044,0.05118,0.03208,1.75845,3.023,1.64141,3.97753e-05,3.97753e-05,3.97753e-05
2,84.1791,1.77926,2.93237,1.61909,0.74279,0.13117,0.12867,0.0749,1.57913,2.18965,1.5097,7.97704e-05,7.97704e-05,7.97704e-05
3,128.33,1.64937,2.40113,1.53608,0.59334,0.187,0.17156,0.10468,1.50068,1.93212,1.46086,0.000119746,0.000119746,0.000119746
4,171.049,1.56766,2.15248,1.48404,0.64462,0.20583,0.21637,0.12697,1.4781,1.77955,1.44365,0.000119934,0.000119934,0.000119934
5,213.885,1.52013,1.98568,1.45462,0.55422,0.23825,0.23123,0.13956,1.433,1.71233,1.39783,0.000119883,0.000119883,0.000119883
6,255.553,1.48646,1.88565,1.42451,0.65651,0.2393,0.2819,0.16468,1.41516,1.62925,1.38944,0.000119817,0.000119817,0.000119817
7,299.052,1.46297,1.79721,1.40196,0.58862,0.2702,0.29228,0.17272,1.39204,1.59702,1.38042,0.000119736,0.000119736,0.000119736
8,342.406,1.43675,1.74123,1.39634,0.48589,0.31258,0.28079,0.16638,1.38455,1.54666,1.36464,0.000119641,0.000119641,0.000119641
9,388.038,1.39233,1.64582,1.35865,0.4492,0.32148,0.30008,0.17947,1.39628,1.53455,1.37229,0.000119532,0.000119532,0.000119532
10,432.198,1.39636,1.63432,1.36532,0.51553,0.31141,0.32493,0.19407,1.37084,1.50977,1.35302,0.000119407,0.000119407,0.000119407
11,476.092,1.38711,1.59182,1.35467,0.47953,0.32414,0.32007,0.19272,1.37896,1.52021,1.34589,0.000119269,0.000119269,0.000119269
12,521.816,1.35943,1.54403,1.3401,0.54269,0.338,0.31379,0.18996,1.36493,1.48438,1.34404,0.000119115,0.000119115,0.000119115
13,567.133,1.34028,1.5095,1.32448,0.53293,0.33562,0.32538,0.19997,1.36084,1.4723,1.33818,0.000118948,0.000118948,0.000118948
14,613.233,1.31807,1.4534,1.30066,0.5248,0.33203,0.33943,0.20029,1.37611,1.45357,1.34332,0.000118766,0.000118766,0.000118766
15,662.179,1.33207,1.47253,1.31812,0.49393,0.33913,0.32984,0.20429,1.35329,1.43146,1.34986,0.000118569,0.000118569,0.000118569
16,711.585,1.30764,1.43115,1.3015,0.54495,0.31642,0.32446,0.19514,1.37581,1.48321,1.34167,0.000118359,0.000118359,0.000118359
17,757.406,1.29226,1.39521,1.28242,0.53066,0.33478,0.35618,0.21382,1.34456,1.43353,1.33096,0.000118134,0.000118134,0.000118134
18,802.42,1.2758,1.36777,1.27871,0.55854,0.3333,0.34269,0.20846,1.35524,1.40714,1.33998,0.000117895,0.000117895,0.000117895
19,849.469,1.25849,1.3474,1.26749,0.52974,0.36002,0.34545,0.21193,1.35044,1.41609,1.33438,0.000117641,0.000117641,0.000117641
